"","Time","AgeGrpStart","ISO3_code","PopTotal"
"528",2024,10,"COM",99.124
"529",2024,15,"COM",83.127
"530",2024,20,"COM",73.984
"531",2024,25,"COM",68.962
"532",2024,30,"COM",61.104
"533",2024,35,"COM",54.24
"534",2024,40,"COM",45.441
"535",2024,45,"COM",36.252
"536",2024,50,"COM",30.218
"537",2024,55,"COM",25.686
"538",2024,60,"COM",20.295
"539",2024,65,"COM",14.08
"540",2024,70,"COM",11.473
"541",2024,75,"COM",6.43
"542",2024,80,"COM",3.709
"543",2024,85,"COM",1.104
"544",2024,90,"COM",0.29
"545",2024,95,"COM",0.03
"546",2024,100,"COM",0.001
"547",2024,0,"DJI",117.671
"548",2024,5,"DJI",113.19
"549",2024,10,"DJI",111.029
"550",2024,15,"DJI",112.736
"551",2024,20,"DJI",110.361
"552",2024,25,"DJI",97.011
"553",2024,30,"DJI",89.304
"554",2024,35,"DJI",78.841
"555",2024,40,"DJI",71.5
"556",2024,45,"DJI",64.407
"557",2024,50,"DJI",53.467
"558",2024,55,"DJI",41.257
"559",2024,60,"DJI",30.62
"560",2024,65,"DJI",21.678
"561",2024,70,"DJI",15.04
"562",2024,75,"DJI",9.709
"563",2024,80,"DJI",4.578
"564",2024,85,"DJI",1.563
"565",2024,90,"DJI",0.351
"566",2024,95,"DJI",0.044
"567",2024,100,"DJI",0.002
"568",2024,0,"ERI",499.279
"569",2024,5,"ERI",473.674
"570",2024,10,"ERI",479.031
"571",2024,15,"ERI",458.061
"572",2024,20,"ERI",378.517
"573",2024,25,"ERI",312.462
"574",2024,30,"ERI",225.238
"575",2024,35,"ERI",189.441
"576",2024,40,"ERI",164.304
"577",2024,45,"ERI",143.296
"578",2024,50,"ERI",123.574
"579",2024,55,"ERI",102.122
"580",2024,60,"ERI",80.182
"581",2024,65,"ERI",58.885
"582",2024,70,"ERI",41.347
"583",2024,75,"ERI",30.304
"584",2024,80,"ERI",15.622
"585",2024,85,"ERI",5.582
"586",2024,90,"ERI",1.244
"587",2024,95,"ERI",0.115
"588",2024,100,"ERI",0.001
"589",2024,0,"ETH",18685.216
"590",2024,5,"ETH",16473.372
"591",2024,10,"ETH",14982.571
"592",2024,15,"ETH",14090.453
"593",2024,20,"ETH",12601.564
"594",2024,25,"ETH",10914.246
"595",2024,30,"ETH",9193.517
"596",2024,35,"ETH",7394.114
